"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"952013","国君君得益三个月(FOF)A",,"1.4447","-0.60","0.84","","","","","","","3.16",""
"010735","申万稳健养老一年持有混合发起式(FOF)",,"1.0000","","","","","","","","","0.00",""
"010643","平安养老2025一年持有期混合(FOF)",,"1.0000","","","","","","","","","0.00",""
"010323","华安平衡养老三年持有(FOF)",,"1.0042","","0.24","","","","","","","0.42",""
"010267","兴全安泰养老五年持有混合(FOF)",,"1.0015","","0.24","","","","","","","0.15",""
"010266","兴全安泰稳健养老一年持有混合(FOF)",,"1.0037","","0.28","","","","","","","0.37",""
"010193","农银养老2045五年持有混合(FOF)",,"1.0048","0.13","-0.12","","","","","","","0.48",""
"010047","博时金福安一年持有混合(FOF)C",,"1.0437","0.02","0.35","5.03","","","","","","4.37",""
"010046","博时金福安一年持有混合(FOF)A",,"1.0450","0.03","0.36","5.14","","","","","","4.50",""
"009884","民生加银康宁平衡养老目标三年持有混合(FOF)",,"1.0389","-0.21","0.72","3.91","","","","","","3.89",""
"009626","浦银安盛养老2040三年持有混合(FOF)",,"1.0039","","0.38","","","","","","","0.39",""
"009573","南方养老2045三年持有混合(FOF)",,"1.0658","0.24","-0.41","6.08","","","","","","6.58",""
"009572","南方养老2040三年持有混合(FOF)",,"1.0439","0.12","-0.32","4.50","","","","","","4.39",""
"009460","安信禧悦稳健养老一年持有混合(FOF)",,"1.0350","-0.55","0.41","2.88","3.41","","","","","3.50",""
"009442","中银养老2040三年持有期混合(FOF)",,"1.0030","","0.16","","","","","","","0.30",""
"009385","天弘永裕平衡养老三年持有(FOF)",,"1.0399","0.08","0.47","4.93","","","","","","3.99",""
"009383","人保稳进配置三个月持有(FOF)",,"1.0155","-0.13","0.31","1.55","","","","","","1.55",""
"009371","浦银安盛睿和优选3个月持有混合(FOF)C",,"1.0241","0.05","0.45","2.95","","","","","","2.41",""
"009370","浦银安盛睿和优选3个月持有混合(FOF)A",,"1.0252","0.04","0.45","3.04","","","","","","2.52",""
"009355","泰达泰和稳健养老一年(FOF)",,"1.0473","0.06","0.31","3.01","4.56","","","","","4.78",""
"009340","工银养老2055混合(FOF)",,"1.0806","0.19","0.39","12.87","","","","","","8.06",""
"009335","工银稳健养老目标一年持有混合发起(FOF)",,"1.0189","0.03","0.40","","","","","","","1.88",""
"009214","易方达如意安泰(FOF)C",,"1.0123","-0.11","0.22","1.41","","","","","","1.23",""
"009213","易方达如意安泰(FOF)A",,"1.0134","-0.11","0.23","1.48","","","","","","1.34",""
"009185","农银汇理永乐3月持有(FOF)",,"1.0426","0.21","0.23","3.01","4.26","","","","","4.26",""
"009184","东方红颐和积极养老五年(FOF)",,"1.1453","0.39","0.76","10.13","14.47","","","","","14.53",""
"009183","东方红颐和平衡养老三年(FOF)",,"1.1054","0.30","0.62","7.37","10.36","","","","","10.54",""
"009174","东方红颐和稳健养老两年(FOF)",,"1.0380","0.11","0.33","2.48","3.80","","","","","3.80",""
"009161","上投锦程养老五年混合(FOF)",,"1.2461","-0.05","-0.18","6.31","15.42","","","","","24.61",""
"009151","国寿策略优选3个月持有混合(FOF)",,"1.0438","-0.29","0.53","3.49","","","","","","4.38",""
"009146","新华精选成长3个月混合(FOF)",,"1.2234","-0.66","0.91","6.80","16.74","","","","","22.34",""
"009143","上投摩根养老一年混合(FOF)",,"1.0653","0.05","0.28","3.91","5.96","","","","","6.53",""
"009113","浙商汇金卓越优选3个月(FOF)",,"1.1308","-0.65","1.37","7.19","10.73","","","","","13.08",""
"009003","中银安康平衡养老三年(FOF)",,"1.0845","0.22","0.66","6.97","6.84","","","","","8.45",""
"008886","民生卓越配置6个月混合(FOF)",,"1.1231","-0.16","0.55","3.66","8.84","","","","","12.31",""
"008755","泰康睿福3月持有混合(FOF)C",,"1.2509","-0.55","0.90","10.71","18.03","","","","","25.09",""
"008754","泰康睿福3月持有混合(FOF)A",,"1.2562","-0.55","0.91","10.87","18.39","","","","","25.62",""
"008753","大成兴享平衡养老三年(FOF)",,"1.0859","-0.15","0.85","5.14","8.43","","","","","8.59",""
"008697","交银养老2035三年(FOF)",,"1.2502","0.22","0.26","5.79","19.29","","","","","25.02",""
"008639","中欧预见养老2025一年持有(FOF)",,"1.0490","0.12","0.14","3.08","4.90","","","","","4.90",""
"008631","国泰民泽平衡养老FOF",,"1.0349","0.06","0.27","3.18","","","","","","3.49",""
"008625","国富平衡养老三年混合(FOF)",,"1.1180","0.09","0.28","4.30","9.89","","","","","11.80",""
"008621","天弘永裕稳健养老一年(FOF)",,"1.0700","0.08","0.38","3.30","6.05","","","","","7.00",""
"008617","国寿稳健养老一年混合(FOF)",,"1.0119","-0.27","0.24","1.41","1.18","","","","","1.19",""
"008609","广发养老2040(FOF)",,"1.1335","0.43","0.97","7.42","12.74","","","","","13.35",""
"008553","万家养老2035三年持有期混合(FOF)",,"1.0944","0.20","-0.35","7.70","9.44","","","","","9.44",""
"008462","平安盈丰三个月持有混合(FOF)C",,"1.4529","0.61","0.66","10.14","19.37","45.29","","","45.13","45.29",""
"008461","平安盈丰三个月持有混合(FOF)A",,"1.4602","0.61","0.66","10.28","19.68","46.02","","","45.84","46.02",""
"008169","汇添富核心优势三个月混合(FOF)",,"1.3694","-0.02","0.38","10.24","22.67","","","","","36.94",""
"008168","汇添富聚焦成长三个月混合FOF",,"1.0986","-0.06","0.63","10.16","","","","","","9.86",""
"008159","招商盛鑫优选3个月持有(FOF)C",,"1.0761","0.18","0.84","7.75","7.79","","","","","7.61",""
"008158","招商盛鑫优选3个月持有(FOF)A",,"1.0788","0.19","0.85","7.86","8.01","","","","","7.88",""
"008145","兴全优选进取三个月持有(FOF)",,"1.3471","0.01","-0.27","8.57","22.44","","","","","34.71",""
"008079","诺德大类精选(FOF)",,"1.3397","-0.89","0.81","9.12","14.57","33.09","","","31.29","33.97",""
"007934","嘉合永泰优选三个月持有混合(FOF)C",,"1.0476","0.23","0.67","8.36","5.63","","","","","4.76",""
"007933","嘉合永泰优选三个月持有混合(FOF)A",,"1.0490","0.24","0.68","8.41","5.75","","","","","4.90",""
"007904","广发锐意进取3个月持有混合(FOF)A",,"1.3861","0.41","0.76","11.46","25.87","37.84","","","37.02","38.61",""
"007897","易方达优选多资产三个月持有混合(FOF)C",,"1.2175","0.02","0.11","7.32","16.46","","","","","21.75",""
"007896","易方达优选多资产三个月持有混合(FOF)A",,"1.2210","0.02","0.11","7.42","16.71","","","","","22.10",""
"007780","银华尊和养老2040混合(FOF)",,"1.4373","0.22","0.88","9.24","18.23","39.94","","","37.96","43.73",""
"007779","银华尊和养老2030混合(FOF)",,"1.3390","0.23","0.98","8.23","16.34","31.11","","","29.95","33.90",""
"007747","海富通平衡养老(FOF)",,"1.1779","-0.03","0.23","4.94","10.73","","","","","17.79",""
"007705","长城恒康稳健养老一年(FOF)",,"1.0217","0.02","-0.18","1.06","2.07","","","","","2.16",""
"007695","泰达养老2040三年持有混合(FOF)E",,"1.1667","0.16","0.32","6.25","11.39","","","","","16.67",""
"007694","泰达养老2040三年持有混合(FOF)C",,"1.1628","0.16","0.32","6.14","11.17","","","","","16.28",""
"007688","泰达养老2040三年持有混合(FOF)A",,"1.1666","0.15","0.32","6.25","11.38","","","","","16.66",""
"007673","中加安瑞稳健养老一年(FOF)",,"1.1002","0.09","0.33","3.81","7.12","","","","","10.02",""
"007668","广发养老2035三年持有期混合(FOF)",,"1.0490","0.36","0.45","5.63","","","","","","4.90",""
"007662","富国鑫旺均衡养老三年(FOF)",,"1.1664","0.07","0.14","5.72","11.47","","","","","16.64",""
"007661","南方养老2030三年(FOF)",,"1.2554","0.26","0.11","7.60","16.90","25.04","","","24.64","25.54",""
"007660","招商和悦均衡养老三年(FOF)",,"1.2326","0.03","0.86","6.39","13.77","21.41","","","21.01","23.26",""
"007652","华夏稳健养老一年(FOF)",,"1.1602","0.18","0.62","4.83","8.84","15.36","","","15.01","16.02",""
"007651","工银养老2045三年持有混合(FOF)",,"1.2834","0.27","0.45","9.57","16.43","","","","","28.34",""
"007650","工银养老2040(FOF)",,"1.3368","0.11","0.29","7.75","14.00","29.43","","","27.96","33.68",""
"007649","博时颐泽平衡养老(FOF)",,"1.2202","0.03","0.45","7.91","13.43","20.64","","","20.13","22.02",""
"007643","华安稳健养老一年(FOF)",,"1.0971","0.12","0.43","3.00","5.14","9.25","","","9.09","9.71",""
"007638","前海开源康颐平衡养老三年(FOF)",,"1.1132","0.27","0.28","4.08","9.09","9.99","","","9.36","11.32",""
"007407","农银养老2035混合(FOF)",,"1.2837","0.05","-0.05","4.34","12.02","24.87","","","24.04","28.37",""
"007402","浦银颐和稳健养老一年(FOF)C",,"1.0590","0.18","0.29","1.45","4.24","5.44","","","5.33","5.90",""
"007401","浦银颐和稳健养老一年(FOF)A",,"1.0637","0.19","0.30","1.56","4.46","5.87","","","5.77","6.37",""
"007310","银华尊尚稳健养老混合(FOF)",,"1.2040","0.16","0.43","4.35","9.77","17.76","","","17.06","20.39",""
"007298","大成养老2040(FOF)C",,"1.3549","-0.25","0.07","6.39","12.02","22.01","","","20.90","35.49",""
"007297","大成养老2040(FOF)A",,"1.3631","-0.24","0.07","6.50","12.25","22.50","","","21.38","36.31",""
"007274","景顺长城养老混合(FOF)",,"1.3076","0.15","0.24","8.86","18.23","30.26","","","29.83","30.76",""
"007272","景顺稳健养老目标三年混合(FOF)",,"1.1894","0.05","0.24","5.56","11.34","18.04","","","17.48","18.95",""
"007255","华宝稳健养老(FOF)",,"1.2009","-0.05","-0.65","5.04","12.22","16.58","","","15.69","20.08",""
"007250","广发养老2050混合(FOF)",,"1.3227","0.39","0.81","9.35","18.52","26.49","","","25.18","32.27",""
"007249","广发均衡养老三年持有混合(FOF)",,"1.2529","0.21","0.42","6.98","14.64","23.69","","","22.86","25.29",""
"007247","易方达汇智稳健养老混合(FOF)",,"1.1049","0.05","0.21","3.77","6.90","10.01","","","9.87","10.49",""
"007242","中欧预见养老2050五年持有(FOF)C",,"1.4778","-0.03","0.16","9.96","16.90","31.97","","","30.73","47.78",""
"007241","中欧预见养老2050五年持有(FOF)A",,"1.4767","-0.03","0.16","10.05","17.07","32.36","","","31.11","47.67",""
"007239","平安养老2035(FOF)C",,"1.3704","0.03","0.80","6.67","13.44","27.85","","","26.78","37.04",""
"007238","平安养老2035(FOF)A",,"1.3756","0.03","0.81","6.73","13.59","28.17","","","27.09","37.56",""
"007232","万家平衡养老目标三年(FOF)",,"1.2808","0.28","0.31","6.33","12.51","19.80","","","18.58","28.08",""
